site,year,area,calendar_year,prop,prop_round
cbh,2014_byte,7746,2014,0.0392197753329391,0.04
cbh,2016,4498,2016,0.0227761477591921,0.02
cbh,2017,36644,2017,0.18553420173945465,0.19
cbh,2018,8106,2018,0.04103987819313376,0.04
cbh,2019,2820,2019,0.014279612471086903,0.01
cbh,2019_b,3203,2019,0.016215349169896247,0.02
cbh,2020,4079,2020,0.020654930301694213,0.02
cbh,2021,3769,2021,0.01908228093841564,0.02
rdg,2017_b,19,2017,1.131735931045871e-4,0
tlb,2014,1682,2014,0.007762326936995767,0.01
tlb,2016,1080,2016,0.004985852396084228,0
tlb,2017,7204,2017,0.033244265638312495,0.03
tlb,2018,1864,2018,0.00860008038437272,0.01
tlb,2019_a,998,2019,0.004605750094155802,0
tlb,2019_b,1573,2019,0.007260286221876969,0.01
tlb,2019_c,1334,2019,0.006153803105120407,0.01
tlb,2020,1159,2020,0.00534754764585614,0.01
tlb,2021,1060,2021,0.004891757140863062,0
rdg,2014,0,2014,0,0
rdg,2018,0,2018,0,0
rdg,2019_a,0,2019,0,0
rdg,2020,0,2020,0,0
rdg,2021,0,2021,0,0
