threshold,acc,fpr,sens,spec,sens_spec,k_cv,acc_cv_mean,acc_cv_se,acc_cv_sens,acc_cv_spec,site,year
0.38,0.98,0,0.9,1,1.89,8,0.945,1e-4,0.892,0.997,cbh,2014_byte
0.39,0.96,0.03,0.91,0.97,1.88,8,0.938,8e-5,0.903,0.973,cbh,2016
0.34,0.98,0,0.97,1,1.96,8,0.982,3e-5,0.966,0.998,cbh,2017
0.38,0.97,0.01,0.75,0.99,1.75,8,0.872,1.3e-4,0.75,0.993,cbh,2018
0.41,0.97,0,0.85,1,1.85,8,0.925,3e-5,0.854,0.997,cbh,2019
0.42,0.99,0,0.88,1,1.88,8,0.939,6e-5,0.88,0.998,cbh,2019_b
0.4,0.98,0,0.86,1,1.86,8,0.929,1e-4,0.862,0.996,cbh,2020
0.41,0.96,0.01,0.77,0.99,1.76,8,0.879,5e-5,0.766,0.993,cbh,2021
1,1,0,NA,1,NA,NA,NA,NA,NA,NA,rdg,2014
0.36,1,0,0.97,1,1.97,NA,NA,NA,NA,NA,rdg,2017_b
1,1,0,NA,1,NA,NA,NA,NA,NA,NA,rdg,2018
1,1,0,NA,1,NA,NA,NA,NA,NA,NA,rdg,2019_a
1,1,0,NA,1,NA,NA,NA,NA,NA,NA,rdg,2020
1,1,0,NA,1,NA,NA,NA,NA,NA,NA,rdg,2021
0.41,0.99,0,0.97,1,1.97,8,0.988,5e-5,0.976,0.999,tlb,2014
0.43,0.99,0.01,0.92,0.99,1.91,8,0.955,4e-5,0.915,0.994,tlb,2016
0.4,0.99,0.01,0.98,0.99,1.97,8,0.987,5e-5,0.982,0.992,tlb,2017
0.41,0.98,0,0.74,1,1.74,8,0.87,1.1e-4,0.743,0.996,tlb,2018
0.44,0.99,0,0.91,1,1.91,8,0.957,5e-5,0.914,1,tlb,2019_a
0.41,0.98,0.01,0.92,0.99,1.92,8,0.956,5e-5,0.919,0.994,tlb,2019_b
0.4,0.99,0,0.95,1,1.95,8,0.973,7e-5,0.949,0.997,tlb,2019_c
0.42,0.99,0,0.97,1,1.96,8,0.982,3e-5,0.965,0.998,tlb,2020
0.4,1,0,0.97,1,1.97,8,0.983,2e-5,0.967,0.998,tlb,2021
