site,var,r,p
cbh,temp_jja_mean,-0.72,0.068
cbh,precip_son_sum,0.56,0.187
cbh,temp_son_mean,0.46,0.302
cbh,temp_mam_mean,0.44,0.322
cbh,precip_jja_sum,-0.41,0.363
cbh,spei_12_months,0.35,0.439
cbh,precip_dfj_sum,0.34,0.462
cbh,spei_9_months,0.32,0.48
cbh,spei_24_months,0.3,0.506
cbh,precip_sept_aug_sum,0.27,0.557
cbh,spei_6_months,0.19,0.685
cbh,spei_3_months,0.14,0.758
cbh,precip_mam_sum,0.13,0.783
cbh,precip_annual_sum,-0.12,0.794
cbh,temp_annual_mean,0.07,0.877
cbh,temp_djf_mean,0.06,0.893
rdg,temp_jja_mean,-0.68,0.138
rdg,precip_son_sum,0.54,0.272
rdg,temp_mam_mean,0.52,0.291
rdg,temp_son_mean,0.52,0.292
rdg,precip_jja_sum,-0.35,0.501
rdg,spei_12_months,0.25,0.639
rdg,precip_sept_aug_sum,0.22,0.682
rdg,spei_9_months,0.21,0.685
rdg,spei_6_months,0.16,0.758
rdg,precip_dfj_sum,0.16,0.758
rdg,spei_24_months,0.16,0.759
rdg,temp_annual_mean,0.16,0.763
rdg,spei_3_months,0.16,0.764
rdg,temp_djf_mean,-0.1,0.855
rdg,precip_mam_sum,0.07,0.894
rdg,precip_annual_sum,0.02,0.974
tlb,temp_jja_mean,-0.7,0.081
tlb,precip_son_sum,0.51,0.239
tlb,temp_son_mean,0.49,0.267
tlb,temp_mam_mean,0.47,0.282
tlb,precip_jja_sum,-0.38,0.395
tlb,spei_12_months,0.3,0.516
tlb,precip_dfj_sum,0.28,0.54
tlb,spei_9_months,0.28,0.544
tlb,spei_24_months,0.27,0.562
tlb,precip_sept_aug_sum,0.22,0.635
tlb,spei_6_months,0.17,0.714
tlb,spei_3_months,0.16,0.738
tlb,precip_annual_sum,-0.16,0.739
tlb,precip_mam_sum,0.08,0.864
tlb,temp_annual_mean,0.07,0.881
tlb,temp_djf_mean,0.02,0.972
